2022-03-17 16:41:28,369 | Network_comissioning | INFO | serial opened
2022-03-17 16:41:28,369 | Network_comissioning | INFO | serial opened
2022-03-17 16:41:28,382 | Network_comissioning | INFO |  

2022-03-17 16:41:28,382 | Network_comissioning | INFO |  

2022-03-17 16:41:29,385 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:29,385 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:30,389 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:30,389 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:31,394 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:31,394 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:32,403 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:32,403 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:33,410 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:33,410 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:34,420 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:34,420 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:35,424 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:35,424 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:36,434 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:36,434 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:37,438 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:37,438 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:38,448 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:38,448 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:39,455 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:39,455 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:40,461 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:40,461 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:41,468 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:41,468 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:42,474 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:42,474 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:43,481 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:43,481 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:44,491 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:44,491 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:45,497 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:45,497 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:46,506 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:46,506 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:47,509 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:47,509 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:48,516 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:48,516 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:41:49,519 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:49,519 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:41:50,526 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

